#SampleID	TECAN_sample_labware_name	TECAN_sample_labware_type	TECAN_sample_target_position	TECAN_primer_labware_name	TECAN_primer_labware_type	TECAN_primer_target_position	TECAN_sample_rxn_volume	Notes
Nicks Sample 1	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	1	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 2	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	2	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 3	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	3	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 4	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	4	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 5	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	5	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 6	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	6	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 7	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	7	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 8	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	8	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 9	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	9	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 10	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	10	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Nicks Sample 11	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	11	515F-806R	1.5ml Eppendorf	1	1	DNA sample in a 96-well plate
Pos_control	Mock community DNA	1.5ml Eppendorf	1	515F-806R	1.5ml Eppendorf	1	1	Mock community positive control
Neg_control	Water	1.5ml Eppendorf	1	515F-806R	1.5ml Eppendorf	1	1	Water negative control
