Sample	TECAN_sample_labware_name	TECAN_sample_labware_type	TECAN_sample_target_position	TECAN_primer_labware_name	TECAN_primer_labware_type	TECAN_primer_target_position	TECAN_sample_conc	Notes
Sample1	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	1	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	1	5	DNA sample in a 96-well plate
Sample2	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	2	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	2	5	DNA sample in a 96-well plate
Sample3	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	3	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	3	1	DNA sample in a 96-well plate
Sample4	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	4	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	4	0.9	DNA sample in a 96-well plate
Sample5	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	5	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	5	0.5	DNA sample in a 96-well plate
Sample6	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	6	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	6	0	DNA sample in a 96-well plate
Sample7	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	7	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	7	5	DNA sample in a 96-well plate
Sample8	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	8	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	8	10	DNA sample in a 96-well plate
Sample9	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	9	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	9	25	DNA sample in a 96-well plate
Sample10	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	10	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	10	32	DNA sample in a 96-well plate
Sample11	Diluted sample plate 1	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	11	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	11	4	DNA sample in a 96-well plate
Pos_control_sequenced	Mock community DNA	1.5ml Eppendorf	1	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	21	0.5	Mock community in 1.5ml tube
Neg_control_sequenced	Water	1.5ml Eppendorf	1	S5_N7	PCR Adapter 96 Well and 96 Well Eppendorf TwinTec PCR	22	0.2	Negative control in 1.5ml tube
